Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 00:00:00+05:30,1168.7155413951168,1182.006865479474,1167.890576871922,1180.5860595703125,5316175,0.0,0.0
2023-01-03 00:00:00+05:30,1175.6132315922005,1179.2568955973827,1167.7072711151588,1171.9466552734375,7658932,0.0,0.0
2023-01-04 00:00:00+05:30,1171.9237491084905,1173.780010205778,1152.2160073672667,1154.3013916015625,9264891,0.0,0.0
2023-01-05 00:00:00+05:30,1156.5701686896753,1162.4825159401614,1147.6329108672364,1152.239013671875,13637099,0.0,0.0
2023-01-06 00:00:00+05:30,1158.0137961533028,1167.7760177993446,1154.1868336075447,1162.7115478515625,6349597,0.0,0.0
2023-01-09 00:00:00+05:30,1166.5613550025143,1192.5481603325027,1165.6676535881122,1190.164794921875,10722753,0.0,0.0
2023-01-10 00:00:00+05:30,1194.3814682477307,1194.3814682477307,1166.8823272148813,1172.5654296875,8047142,0.0,0.0
2023-01-11 00:00:00+05:30,1169.8613969406213,1172.3821151320517,1155.470039371194,1157.78466796875,11509553,0.0,0.0
2023-01-12 00:00:00+05:30,1157.1888175579406,1160.6948864390893,1129.7582928272088,1132.783203125,17688773,0.0,0.0
2023-01-13 00:00:00+05:30,1126.7334798203121,1133.379142369728,1115.8255204472603,1130.9500732421875,20618583,0.0,0.0
2023-01-16 00:00:00+05:30,1133.2873470155082,1136.4726433721778,1112.3420989573833,1120.179443359375,13623855,0.0,0.0
2023-01-17 00:00:00+05:30,1126.5500319312011,1138.0080065855818,1123.1585247743378,1136.0831298828125,10751000,0.0,0.0
2023-01-18 00:00:00+05:30,1133.6542059937956,1141.7205532932778,1127.6272972199556,1134.2041015625,13448286,0.0,0.0
2023-01-19 00:00:00+05:30,1133.379133383367,1137.1602715521187,1125.9314186223132,1132.9896240234375,11940054,0.0,0.0
2023-01-20 00:00:00+05:30,1134.3415861827705,1134.3415861827705,1117.040120878316,1119.5150146484375,14930286,0.0,0.0
2023-01-23 00:00:00+05:30,1122.4252743528841,1130.3083225769092,1111.4255453120863,1113.8546142578125,10954118,0.0,0.0
2023-01-24 00:00:00+05:30,1118.3003523721982,1119.973193767497,1094.1698061809661,1107.27783203125,16488755,0.0,0.0
2023-01-25 00:00:00+05:30,1105.6737157348025,1106.7048910921467,1090.8011993917125,1091.9698486328125,12385018,0.0,0.0
2023-01-27 00:00:00+05:30,1092.817786064837,1094.1697337425892,1059.474915791439,1071.2537841796875,25830975,0.0,0.0
2023-01-30 00:00:00+05:30,1068.664394571223,1087.088804600051,1054.5939303654334,1081.520263671875,21772103,0.0,0.0
2023-01-31 00:00:00+05:30,1091.717732743555,1094.3073089468612,1072.9266059520432,1078.8160400390625,22691594,0.0,0.0
2023-02-01 00:00:00+05:30,1090.7782802892427,1090.7782802892427,1056.4271453359777,1072.422607421875,19347800,0.0,0.0
2023-02-02 00:00:00+05:30,1062.3852733070487,1076.1348431598142,1059.177064587237,1066.4873046875,13662663,0.0,0.0
2023-02-03 00:00:00+05:30,1076.5932602066225,1076.5932602066225,1050.9273468082845,1067.4268798828125,24699575,0.0,0.0
2023-02-06 00:00:00+05:30,1061.0103174930114,1063.7602800211087,1056.7938456763231,1059.38330078125,14837879,0.0,0.0
2023-02-07 00:00:00+05:30,1059.6353865773144,1066.6934697036866,1050.9272533069554,1056.839599609375,15135435,0.0,0.0
2023-02-08 00:00:00+05:30,1060.093710721351,1081.588976505019,1057.3438694042813,1077.9453125,21160332,0.0,0.0
2023-02-09 00:00:00+05:30,1078.6327793113203,1086.6074765525984,1069.718434775689,1079.8243408203125,13172763,0.0,0.0
2023-02-10 00:00:00+05:30,1079.2974338522342,1079.2974338522342,1063.897812566571,1070.93310546875,10790445,0.0,0.0
2023-02-13 00:00:00+05:30,1072.5600642690633,1077.0516050808442,1060.3458615319694,1064.83740234375,10352493,0.0,0.0
2023-02-14 00:00:00+05:30,1067.8623457367958,1091.6719982566156,1064.974909235553,1089.930419921875,14321920,0.0,0.0
2023-02-15 00:00:00+05:30,1088.9678390041,1117.0171177005811,1087.5929789519903,1114.61083984375,33503591,0.0,0.0
2023-02-16 00:00:00+05:30,1122.631545268288,1129.208470731056,1111.448517118838,1113.7401123046875,17264487,0.0,0.0
2023-02-17 00:00:00+05:30,1109.133938364863,1121.7377716919275,1104.825696049732,1118.3919677734375,11809520,0.0,0.0
2023-02-20 00:00:00+05:30,1120.5919006448164,1122.7689340908057,1104.5965601857347,1106.5673828125,8836937,0.0,0.0
2023-02-21 00:00:00+05:30,1110.9672987239808,1121.4168897733282,1105.627759786796,1115.5963134765625,13311592,0.0,0.0
2023-02-22 00:00:00+05:30,1111.8609999506527,1113.7171398223675,1088.532506453579,1090.2969970703125,11024335,0.0,0.0
2023-02-23 00:00:00+05:30,1089.8845780570418,1097.5614154720001,1082.2535652696852,1085.0721435546875,9851910,0.0,0.0
2023-02-24 00:00:00+05:30,1087.1346181952451,1098.2030842261706,1085.3013906282733,1092.4969482421875,9434053,0.0,0.0
2023-02-27 00:00:00+05:30,1091.717819898285,1095.2240101015127,1077.8307754283262,1085.2325439453125,11199715,0.0,0.0
2023-02-28 00:00:00+05:30,1079.8472903100997,1084.8430233363044,1060.3917051116362,1064.470703125,21994038,0.0,0.0
